,Date,Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,zip_code,Depart,Sunrise,Sunset,hours_in_day,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,StnPressure,SeaLevel,ResultSpeed,AvgSpeed,ResultDir,CodeSum,Trap_num,Species_num,zip_code_num,BR,DZ,FG,HZ,RA,TS,TSRA,VCTS
0,2007-05-29,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0,60634,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",1,2,26,1,0,0,1,0,0,0,0
1,2007-05-29,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,1,0,60634,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",1,3,26,1,0,0,1,0,0,0,0
2,2007-05-29,CULEX RESTUANS,62,T007,41.994991,-87.769279,9,1,0,60646,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",6,3,36,1,0,0,1,0,0,0,0
3,2007-05-29,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0,60656,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",13,2,43,1,0,0,1,0,0,0,0
4,2007-05-29,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,4,0,60656,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",13,3,43,1,0,0,1,0,0,0,0
5,2007-05-29,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0,60614,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",32,3,9,1,0,0,1,0,0,0,0
6,2007-05-29,CULEX RESTUANS,25,T046,41.891118,-87.654491,8,1,0,60654,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",33,3,41,1,0,0,1,0,0,0,0
7,2007-05-29,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0,60608,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",35,2,4,1,0,0,1,0,0,0,0
8,2007-05-29,CULEX RESTUANS,11,T048,41.867108,-87.654224,8,2,0,60608,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",35,3,4,1,0,0,1,0,0,0,0
9,2007-05-29,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0,60642,10.0,4.35,19.2833333333,14.9333333333,88.0,60.0,74.0,58.0,65.0,0.0,9.0,29.39,30.11,5.8,6.5,18.0,"['HZ', 'BR']",36,3,33,1,0,0,1,0,0,0,0
