Id,WnvPresent
1,0.0179527777778
2,0.01115
3,0.0167
4,0.01115
5,0.01115
6,0.01115
7,0.01115
8,0.0167
9,0.008
10,0.0045
11,0.005
12,0.0045
13,0.0045
14,0.0045
15,0.0045
16,0.005
17,0.00816666666667
18,0.00661111111111
19,0.007125
20,0.00661111111111
21,0.00661111111111
22,0.00661111111111
23,0.00661111111111
24,0.007125
25,0.00374242424242
26,0.00290909090909
27,0.00703409090909
28,0.00290909090909
29,0.00290909090909
30,0.00290909090909
31,0.00290909090909
32,0.00703409090909
33,0.001
34,0.001
35,0.004
36,0.001
37,0.001
38,0.001
39,0.001
40,0.004
41,0.004
42,0.00216666666667
43,0.003
44,0.00216666666667
45,0.00216666666667
46,0.00216666666667
47,0.00216666666667
48,0.003
49,0.006
50,0.003
51,0.005
52,0.003
53,0.003
54,0.003
55,0.003
56,0.005
57,0.0051
58,0.00433333333333
59,0.0076
60,0.00433333333333
61,0.00433333333333
62,0.00433333333333
63,0.00433333333333
64,0.0076
65,0.00676666666667
66,0.00133333333333
67,0.0076
68,0.00133333333333
69,0.00133333333333
70,0.00133333333333
71,0.00133333333333
72,0.0076
73,0.0124777777778
74,0.0092
75,0.0040780399274
76,0.0092
77,0.009
78,0.009
79,0.009
80,0.0040780399274
81,0.002
82,0.002
83,0.005
84,0.002
85,0.002
86,0.002
87,0.002
88,0.005
89,0.0162
90,0.0072
91,0.0171426332288
92,0.0072
93,0.007
94,0.007
95,0.007
96,0.0171426332288
97,0.0082
98,0.0042
99,0.00605172413793
100,0.0032
101,0.003
102,0.003
103,0.003
104,0.00605172413793
105,0.0038
106,0.0028
107,0.005
108,0.0028
109,0.0028
110,0.0028
111,0.0028
112,0.005
113,0.015
114,0.0095
115,0.015
116,0.0095
117,0.0095
118,0.0095
119,0.0095
120,0.015
121,0.0125
122,0.0075
123,0.012
124,0.0075
125,0.0075
126,0.0075
127,0.0075
128,0.012
129,0.0115714285714
130,0.00407142857143
131,0.0110392156863
132,0.004
133,0.004
134,0.004
135,0.004
136,0.0110392156863
137,0.0065
138,0.001
139,0.005
140,0.001
141,0.001
142,0.001
143,0.001
144,0.005
145,0.00933333333333
146,0.0055
147,0.007125
148,0.0055
149,0.0055
150,0.0055
151,0.0055
152,0.007125
153,0.0143333333333
154,0.007
155,0.016125
156,0.007
157,0.007
158,0.007
159,0.007
160,0.016125
161,0.013
162,0.0105
163,0.011
164,0.0105
165,0.0105
166,0.0105
167,0.0105
168,0.011
169,0.0109666666667
170,0.0086
171,0.0095
172,0.0086
173,0.0086
174,0.0086
175,0.0086
176,0.0095
177,0.00828571428571
178,0.0065
179,0.00866666666667
180,0.0065
181,0.0065
182,0.0065
183,0.0065
184,0.00866666666667
185,0.01125
186,0.0075
187,0.01225
188,0.0075
189,0.0075
190,0.0075
191,0.0075
192,0.01225
193,0.01975
194,0.007
195,0.01325
196,0.007
197,0.005
198,0.005
199,0.005
200,0.01325
201,0.0057380952381
202,0.00107142857143
203,0.00303921568627
204,0.001
205,0.001
206,0.001
207,0.001
208,0.00303921568627
209,0.00406666666667
210,0.00606666666667
211,0.00215757575758
212,0.00606666666667
213,0.006
214,0.006
215,0.006
216,0.00215757575758
217,0.0120714285714
218,0.00707142857143
219,0.00903921568627
220,0.007
221,0.007
222,0.007
223,0.007
224,0.00903921568627
225,0.003
226,0.002
227,0.005
228,0.002
229,0.002
230,0.002
231,0.002
232,0.005
233,0.00708333333333
234,0.00508333333333
235,0.00783333333333
236,0.00508333333333
237,0.00508333333333
238,0.00508333333333
239,0.00508333333333
240,0.00783333333333
241,0.0076
242,0.0026
243,0.00966666666667
244,0.0026
245,0.0026
246,0.0026
247,0.0026
248,0.00966666666667
249,0.01485
250,0.00685
251,0.011
252,0.00685
253,0.00685
254,0.00685
255,0.00685
256,0.011
257,0.0058
258,0.0038
259,0.006
260,0.0038
261,0.0038
262,0.0038
263,0.0038
264,0.006
265,0.0106
266,0.0066
267,0.009
268,0.0066
269,0.0066
270,0.0066
271,0.0066
272,0.009
273,0.008
274,0.006
275,0.012
276,0.006
277,0.006
278,0.006
279,0.006
280,0.012
281,0.0055
282,0.003
283,0.009
284,0.003
285,0.003
286,0.003
287,0.003
288,0.009
289,0.0075
290,0.003
291,0.013
292,0.003
293,0.003
